Risk ID,Risk Level,Risk Category,Risk Description,Action Plan,Action Plan Owner,Likelihood,Impact,Risk Rating,Status
R001,Application and Technical,Deployment,Infrastruktur di Cawangan lewat disediakan disebabkan oleh kelewatan perolehan mengakibatkan  tidak dapat dilaksanakan di cawangan berkenaan.,"Prepare infrastructure deployment plan di cawangan JM yang merangkumi: 
a. Pasukan deployment mengikut zon;
b. Bilangan sumber manusia, tempoh, aktiviti deployment; dan
c. Strategi penghantaran, pemasangan dan konfigurasi.","1. Tower Infrastruktur  Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor ",3,4,12,Active
R002,Application and Technical,Deployment,Infrastruktur di Cawangan lewat disediakan disebabkan oleh kelewatan perolehan mengakibatkan  tidak dapat dilaksanakan di cawangan berkenaan.,Menyediakan procurement plan dan menyerahkan kepada Kerajaan,"1. Tower Infrastruktur  Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor ",3,4,12,Active
R003,Application and Technical,Deployment,Infrastruktur di Cawangan lewat disediakan disebabkan oleh kelewatan perolehan mengakibatkan  tidak dapat dilaksanakan di cawangan berkenaan.,"Memuktamadkan bilangan, jenis dan spesifikasi peralatan cawangan mengikut keperluan.","1. Tower Infrastruktur  Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor ",3,4,12,Active
R004,Application and Technical,Deployment,Terdapat isu teknikal aplikasi luar jangkaan sepanjang fasa pembangunan sehingga fasa pelaksanaan  (Dev-Test-Staging-Production) disebabkan oleh proses DevOps yang tidak menyeluruh dan tidak mengikut amalan terbaik industri  mengakibatkan pembangunan projek  terjejas.,"Prepare DevOps platform
- Devops Blueprint
- Devops Readiness
- Devops Training
(30 Disember 2022)","1. Tower Teknikal Kontraktor 

 2. Tower Aplikasi Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor 

5. Tower Teknikal Kontraktor ",2,5,10,Active
R005,Application and Technical,Deployment,Terdapat isu teknikal aplikasi luar jangkaan sepanjang fasa pembangunan sehingga fasa pelaksanaan  (Dev-Test-Staging-Production) disebabkan oleh proses DevOps yang tidak menyeluruh dan tidak mengikut amalan terbaik industri  mengakibatkan pembangunan projek  terjejas.,"Mengenal pasti individu dan skop kerja individu yang mengawal proses deployment (Change Manager dan Release Manager). Akan diperincikan dalam dokumen Master Implementation Plan (MIP). 
(31 Disember 2022)","1. Tower Teknikal Kontraktor 

 2. Tower Aplikasi Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor 

5. Tower Teknikal Kontraktor ",2,5,10,Active
R006,Application and Technical,Deployment,Terdapat isu teknikal aplikasi luar jangkaan sepanjang fasa pembangunan sehingga fasa pelaksanaan  (Dev-Test-Staging-Production) disebabkan oleh proses DevOps yang tidak menyeluruh dan tidak mengikut amalan terbaik industri  mengakibatkan pembangunan projek  terjejas.,"Mengenal pasti dan memperincikan keperluan pelan-pelan yang terlibat pada peringkat pre-deployment dan post-deployment.
(31 Oktober 2023)","1. Tower Teknikal Kontraktor 

 2. Tower Aplikasi Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor 

5. Tower Teknikal Kontraktor ",2,5,10,Active
R007,Application and Technical,Deployment,Terdapat isu teknikal aplikasi luar jangkaan sepanjang fasa pembangunan sehingga fasa pelaksanaan  (Dev-Test-Staging-Production) disebabkan oleh proses DevOps yang tidak menyeluruh dan tidak mengikut amalan terbaik industri  mengakibatkan pembangunan projek  terjejas.,"Menyediakan proses end-to-end (development-pengujian-deployment) di dalam satu dokumen.
(31 Disember 2022)","1. Tower Teknikal Kontraktor 

 2. Tower Aplikasi Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor 

5. Tower Teknikal Kontraktor ",2,5,10,Active
R008,Application and Technical,Deployment,Terdapat isu teknikal aplikasi luar jangkaan sepanjang fasa pembangunan sehingga fasa pelaksanaan  (Dev-Test-Staging-Production) disebabkan oleh proses DevOps yang tidak menyeluruh dan tidak mengikut amalan terbaik industri  mengakibatkan pembangunan projek  terjejas.,"Membentang amalan terbaik industri
Seperti konsep, CI/CD, Infrastruktur as Code, Collaboration and Communication, Automation, Monitoring and feedback.
(31 Oktober 2023)","1. Tower Teknikal Kontraktor 

 2. Tower Aplikasi Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor 

5. Tower Teknikal Kontraktor ",2,5,10,Active
R009,Application and Technical,"Infrastructure (DC,DRC,NICC,Server)","Infrastruktur  yang penting dan kritikal seperti DC 1, DC 2, NICC dan server di cawangan gagal diakses dari luar secara online. 

","Kontraktor  hendaklah menyediakan insfrastruktur  dengan mengambil kira kemampuan  untuk beroperasi secara online dan offline. 
(30 September 2023)","1.Tower Infrastruktur Kontraktor   

2.Tower Aplikasi Kontraktor  

3.Tower Infrastruktur Kontraktor  

4.Tower Infrastruktur Kerajaan

5.Tower Infrastruktur Kerajaan

6.Tower Infrastruktur Kontraktor ",1,5,5,Active
R010,Application and Technical,"Infrastructure (DC,DRC,NICC,Server)","Infrastruktur  yang penting dan kritikal seperti DC 1, DC 2, NICC dan server di cawangan gagal diakses dari luar secara online. 

","Kontraktor  hendaklah menyediakan sistem  yang berupaya untuk menyimpan data semasa mode offline dan ada fungsi untuk upload data masuk ke database apabila kembali online. 
(30 September 2023)","1.Tower Infrastruktur Kontraktor   

2.Tower Aplikasi Kontraktor  

3.Tower Infrastruktur Kontraktor  

4.Tower Infrastruktur Kerajaan

5.Tower Infrastruktur Kerajaan

6.Tower Infrastruktur Kontraktor ",1,5,5,Active
R011,Application and Technical,"Infrastructure (DC,DRC,NICC,Server)","Infrastruktur  yang penting dan kritikal seperti DC 1, DC 2, NICC dan server di cawangan gagal diakses dari luar secara online. 

","Mewujudkan worksheet keseluruhan penggunaan bandwidth .
(30 September 2023)","1.Tower Infrastruktur Kontraktor   

2.Tower Aplikasi Kontraktor  

3.Tower Infrastruktur Kontraktor  

4.Tower Infrastruktur Kerajaan

5.Tower Infrastruktur Kerajaan

6.Tower Infrastruktur Kontraktor ",1,5,5,Active
R012,Application and Technical,"Infrastructure (DC,DRC,NICC,Server)","Infrastruktur  yang penting dan kritikal seperti DC 1, DC 2, NICC dan server di cawangan gagal diakses dari luar secara online. 

","JIM (BTMR) hendaklah menyediakan perkhidmatan Network (MyGovNet) di semua lokasi yang melibatkan  sebelum fasa rollout.
(30 September 2021)","1.Tower Infrastruktur Kontraktor   

2.Tower Aplikasi Kontraktor  

3.Tower Infrastruktur Kontraktor  

4.Tower Infrastruktur Kerajaan

5.Tower Infrastruktur Kerajaan

6.Tower Infrastruktur Kontraktor ",1,5,5,Active
R013,Application and Technical,"Infrastructure (DC,DRC,NICC,Server)","Infrastruktur  yang penting dan kritikal seperti DC 1, DC 2, NICC dan server di cawangan gagal diakses dari luar secara online. 

","JIM hendaklah menyediakan genset/ panel solar di setiap lokasi yang terjejas disebabkan oleh masalah bekalan elektrik sebelum fasa pemasangan dilaksanakan.
(15 Jun 2022)
(30 September 2023)","1.Tower Infrastruktur Kontraktor   

2.Tower Aplikasi Kontraktor  

3.Tower Infrastruktur Kontraktor  

4.Tower Infrastruktur Kerajaan

5.Tower Infrastruktur Kerajaan

6.Tower Infrastruktur Kontraktor ",1,5,5,Active
R014,Application and Technical,"Infrastructure (DC,DRC,NICC,Server)","Infrastruktur  yang penting dan kritikal seperti DC 1, DC 2, NICC dan server di cawangan gagal diakses dari luar secara online. 

","Menyediakan pelan NICC yang menyeluruh bagi memantau Network (network monitoring) dan melaporkan isu akses yang gagal dari luar secara online. 
(31 Mei 2023)","1.Tower Infrastruktur Kontraktor   

2.Tower Aplikasi Kontraktor  

3.Tower Infrastruktur Kontraktor  

4.Tower Infrastruktur Kerajaan

5.Tower Infrastruktur Kerajaan

6.Tower Infrastruktur Kontraktor ",1,5,5,Active
R015,Application and Technical,ICT Security,Peralatan dan perisian keselamatan ICT yang akan digunakan tidak berkesan disebabkan tiada pengujian secara terperinci yang dilaksanakan mengakibatkan sistem dibolosi.,"Menyenaraikan semua ciri keselamatan dan teknologi yang akan dibekalkan untuk projek  bagi memastikan tiada pencerobohan berlaku
(31 Ogos 2023)","1. Tower Infrastruktur Kontraktor 

2. BTMR JIM & Tower Teknikal Kontraktor 

3. Tower Pengurusan Kontraktor ",3,5,15,Active
R016,Application and Technical,ICT Security,Peralatan dan perisian keselamatan ICT yang akan digunakan tidak berkesan disebabkan tiada pengujian secara terperinci yang dilaksanakan mengakibatkan sistem dibolosi.,"Menyediakan Polisi Security Keseluruhan: 
SPA, Dokumentasi SPA perlu disiapkan kerana ia ada hubungkait dengan kategori pengujian yang akan dilaksanakan.
ISMS, Polisi ICT
(31 Ogos 2023)","1. Tower Infrastruktur Kontraktor 

2. BTMR JIM & Tower Teknikal Kontraktor 

3. Tower Pengurusan Kontraktor ",3,5,15,Active
R017,Application and Technical,ICT Security,Peralatan dan perisian keselamatan ICT yang akan digunakan tidak berkesan disebabkan tiada pengujian secara terperinci yang dilaksanakan mengakibatkan sistem dibolosi.,"Melaksanakan aktiviti perolehan bagi teknologi keselamatan yang akan digunakan untuk projek .
Contoh software: OGG, ODI, dll
(31 Ogos 2023)","1. Tower Infrastruktur Kontraktor 

2. BTMR JIM & Tower Teknikal Kontraktor 

3. Tower Pengurusan Kontraktor ",3,5,15,Active
R018,Application and Technical,System Development, The system developed does not follow standard quality processes yang telah ditetapkan oleh pihak Kerajaan disebabkan oleh penyelarasan dokumentasi dan proses pembangunan tidak mengikut metodologi yang telah dipersetujui.,"Kontraktor  dan IV&V hendaklah membangunkan Pelan Pengurusan Kualiti (QMP) yang komprehensif dan melaksanakan pelan tersebut dengan sempurna.
(30 Ogos 2022)","1.Tower Aplikasi Kontraktor 
Tower Aplikasi Kerajaan

2.Tower Aplikasi Kerajaan 
Pasukan IV&V 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor ",4,3,12,Active
