Risk ID,Risk Level,Risk Category,Risk Description,Action Plan,Action Plan Owner,Likelihood,Impact,Risk Rating,Status
RSK-APT-000001,Application and Technical,Deployment,Infrastruktur di Cawangan lewat disediakan disebabkan oleh kelewatan perolehan mengakibatkan  tidak dapat dilaksanakan di cawangan berkenaan.,"1. Prepare infrastructure deployment plan di cawangan JM yang merangkumi: 
a. Pasukan deployment mengikut zon;
b. Bilangan sumber manusia, tempoh, aktiviti deployment; dan
c. Strategi penghantaran, pemasangan dan konfigurasi.

2. Menyediakan procurement plan dan menyerahkan kepada Kerajaan 

3. Memuktamadkan bilangan, jenis dan spesifikasi peralatan cawangan mengikut keperluan.

","1. Tower Infrastruktur  Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor ",3,4,12,Active
RSK-APT-000016,Application and Technical,Deployment,Terdapat isu teknikal aplikasi luar jangkaan sepanjang fasa pembangunan sehingga fasa pelaksanaan  (Dev-Test-Staging-Production) disebabkan oleh proses DevOps yang tidak menyeluruh dan tidak mengikut amalan terbaik industri  mengakibatkan pembangunan projek  terjejas.,"1. Prepare DevOps platform
- Devops Blueprint
- Devops Readiness
- Devops Training
(30 Disember 2022)

2. Mengenal pasti individu dan skop kerja individu yang mengawal proses deployment (Change Manager dan Release Manager). Akan diperincikan dalam dokumen Master Implementation Plan (MIP). 
(31 Disember 2022)

3. Mengenal pasti dan memperincikan keperluan pelan-pelan yang terlibat pada peringkat pre-deployment dan post-deployment.
(31 Oktober 2023)

4. Menyediakan proses end-to-end (development-pengujian-deployment) di dalam satu dokumen.
(31 Disember 2022)

5. Membentang amalan terbaik industri
Seperti konsep, CI/CD, Infrastruktur as Code, Collaboration and Communication, Automation, Monitoring and feedback.
(31 Oktober 2023)","1. Tower Teknikal Kontraktor 

 2. Tower Aplikasi Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor 

5. Tower Teknikal Kontraktor ",2,5,10,Active
RSK-APT-000017,Application and Technical,"Infrastructure (DC,DRC,NICC,Server)","Infrastruktur  yang penting dan kritikal seperti DC 1, DC 2, NICC dan server di cawangan gagal diakses dari luar secara online. 

","1. Kontraktor  hendaklah menyediakan insfrastruktur  dengan mengambil kira kemampuan  untuk beroperasi secara online dan offline. 
(30 September 2023)

2. Kontraktor  hendaklah menyediakan sistem  yang berupaya untuk menyimpan data semasa mode offline dan ada fungsi untuk upload data masuk ke database apabila kembali online. 
(30 September 2023)

3. Mewujudkan worksheet keseluruhan penggunaan bandwidth .
(30 September 2023)

4. JIM (BTMR) hendaklah menyediakan perkhidmatan Network (MyGovNet) di semua lokasi yang melibatkan  sebelum fasa rollout.
(30 September 2021)

5. JIM hendaklah menyediakan genset/ panel solar di setiap lokasi yang terjejas disebabkan oleh masalah bekalan elektrik sebelum fasa pemasangan dilaksanakan.
(15 Jun 2022)
(30 September 2023)

6. Menyediakan pelan NICC yang menyeluruh bagi memantau Network (network monitoring) dan melaporkan isu akses yang gagal dari luar secara online. 
(31 Mei 2023)","1.Tower Infrastruktur Kontraktor   

2.Tower Aplikasi Kontraktor  

3.Tower Infrastruktur Kontraktor  

4.Tower Infrastruktur Kerajaan

5.Tower Infrastruktur Kerajaan

6.Tower Infrastruktur Kontraktor ",1,5,5,Active
RSK-APT-000018,Application and Technical,ICT Security,Peralatan dan perisian keselamatan ICT yang akan digunakan tidak berkesan disebabkan tiada pengujian secara terperinci yang dilaksanakan mengakibatkan sistem dibolosi.,"1. Menyenaraikan semua ciri keselamatan dan teknologi yang akan dibekalkan untuk projek  bagi memastikan tiada pencerobohan berlaku
(31 Ogos 2023)

2. Menyediakan Polisi Security Keseluruhan: 
SPA, Dokumentasi SPA perlu disiapkan kerana ia ada hubungkait dengan kategori pengujian yang akan dilaksanakan.
ISMS, Polisi ICT
(31 Ogos 2023)

3. Melaksanakan aktiviti perolehan bagi teknologi keselamatan yang akan digunakan untuk projek .
Contoh software: OGG, ODI, dll
(31 Ogos 2023)","1. Tower Infrastruktur Kontraktor 

2. BTMR JIM & Tower Teknikal Kontraktor 

3. Tower Pengurusan Kontraktor ",3,5,15,Active
RSK-APT-000019,Application and Technical,System Development, The system developed does not follow standard quality processes yang telah ditetapkan oleh pihak Kerajaan disebabkan oleh penyelarasan dokumentasi dan proses pembangunan tidak mengikut metodologi yang telah dipersetujui.,"1. Kontraktor  dan IV&V hendaklah membangunkan Pelan Pengurusan Kualiti (QMP) yang komprehensif dan melaksanakan pelan tersebut dengan sempurna.
(30 Ogos 2022)

2. Semua deliverables perlu melalui proses serahan yang telah ditetapkan oleh Kerajaan.
(28 Februari 2022)

3. Mewujudkan Task Force untuk memantau pembangunan  agar mengikut standard kualiti yang ditetapkan.
(31 Januari 2023)

4. Menyediakan dokumen Master Development Plan (MDP) dan mengemukakan kepada pihak Kerajaan.","1.Tower Aplikasi Kontraktor 
Tower Aplikasi Kerajaan

2.Tower Aplikasi Kerajaan 
Pasukan IV&V 

3. Tower Aplikasi Kontraktor 

4. Tower Aplikasi Kontraktor ",4,3,12,Active
RSK-APT-000020,Application and Technical,System Development,"Sistem  tidak boleh beradaptasi dengan sebarang perubahan teknologi baru (sistem,perisian dan infra) pada masa akan datang

","1. Memastikan Pembangunan sistem  berasaskan MicroServices Architecture (MSA). 
(31 Disember 2022)

2. Mengenalpasti dan menyenaraikan perkara yang hampir tamat tempoh;
-Sistem sokongan
-Perisian 
-Peralatan
(31 Disember 2022)

3. Melaksanakan pemantauan bersepadu dan teknologi refresh bagi setiap 3 tahun dengan kaedah pemantauan berikut:
-Mendapatkan maklumat mengenai perubahan yang perlu dibuat 
-Membuat kajian impak terhadap perubahan diperlukan.
-Mencadangkan perubahan yang perlu dilakukan.
(31 Mei 2024)

4. Pihak Kerajaan dan Kontraktor hendaklah membangunkan sistem yang configurable dan fleksible dan menggunakan work flow engine.
(1 Ogos 2023)

","1. Tower Aplikasi Kontraktor 

2. Tower Infrastruktur Kontraktor 

3. Tower Infrastruktur Kontraktor 

4. Tower Aplikasi Kontraktor 


",3,4,12,Active
RSK-APT-000002,Application and Technical,System Development,"Data yang dipindahkan (migrasi) dari sistem lama ke sistem baharu tidak memenuhi kualiti data disebabkan oleh aktiviti data cleansing dan harmonisation tidak mengikut proses yang telah ditetapkan mengakibatkan data transaksi, statistik dan laporan yang dikeluarkan tidak tepat.
","1. Kontraktor  hendaklah menyediakan Pelan Migrasi Data dengan menyatakan secara jelas dan terperinci pendekatan, kaedah, proses dan senarai semak sebelum aktiviti migrasi dilaksanakan. Pelan migrasi data perlu mendapat pengesahan dan persetujuan oleh pihak Kerajaan. 

2. Kontraktor  hendaklah melaksanakan dengan sempurna proses migrasi data mengikut Pelan Migrasi Data yang telah dipersetujui oleh pihak kerajaan seperti 
-Menjalankan kerja-kerja pembangunan seperti mapping, cleansing, harmonization dan sinkronisasi
-Melibatkan data steward dan data validator yang dilantik daripada pihak kerajaan 
-Melakukan pengujian (cleansing and harmonisation rules) migrasi dan sinkronisasi data bersama pihak kerajaan yang dilantik.

3. Melaksanakan aktiviti validasi dan verifikasi data transaksi, laporan dan statistik melalui aplikasi . ","1. Tower Teknikal Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor ",2,5,10,Active
RSK-APT-000003,Application and Technical,System Development,Data yang disikronisasi di antara sistem lama dan baru tidak tepat disebabkan oleh aktiviti data transformasi 2 hala tidak mengikut proses yang ditetapkan mengakibatkan keberadaan data di sistem lama dan baru tidak konsisten.,"Kontraktor  hendaklah melaksanakan dengan sempurna proses sinkronisasi data mengikut Pelan Sikronisasi Data yang telah dipersetujui oleh pihak kerajaan seperti 
i. Menjalankan kerja-kerja pembangunan seperti mapping, cleansing, harmonization dan sinkronisasi
ii. Melibatkan data steward dan data validator yang dilantik daripada pihak kerajaan 
iii. Melakukan pengujian (cleansing and harmonisation rules) sinkronisasi data bersama pihak kerajaan yang dilantik
(31 Mei 2024)",1.Tower Teknikal Kontraktor ,3,5,15,Active
RSK-APT-000005,Application and Technical,Network,"Keupayaan infrastruktur Network (line connectivity) tidak memenuhi keperluan capaian  disebabkan oleh bandwidth tidak mencukupi dan boleh mengakibatkan gangguan capaian .
","1. Menyenaraikan parameter yang menyumbang kepada penggunaan bandwidth 

2. Melaksanakan simulasi berdasarkan parameter yang dikenal pasti.

3. Menaik taraf Bandwidth sedia ada.

4. Mengemukakan cadangan IPSec (Voice, Text Video).

5. Melaksanakan bandwith shaping bagi bandwidth yang terlibat","1. Tower Infrastruktur Kontraktor .

2. Tower Infrastruktur Kontraktor .

3. Tower Infrastruktur Kontraktor .

4. Tower Infrastruktur & Aplikasi Kontraktor .

5. Tower Infrastruktur & Aplikasi Kontraktor .",5,5,25,Active
RSK-APT-000008,Application and Technical,System Development,Integriti data dalam  dipertikai.,"1. Memastikan sistem bug diselesaikan sebelum sesuatu Release.

2. Melaksanakan Security Posture Assessment (SPA).

3. Menyediakan fungsi Audit trail yang komprehensif bagi tujuan pemantauan setiap transaksi dalam .

4. Memastikan Data Migration Plan dan Data Synchonization Plan mengandungi;
Mengandungi proses migrasi data yang menjamin completion, consistency, accuracy dan security.
","1. Tower Aplikasi Kontraktor 

2. Tower Teknikal Kontraktor 

3. Tower Aplikasi Kontraktor 

4. Tower Teknikal Kontraktor ",3,4,12,Active
