Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Inventory Management,Completed,Low,21,High,Low
Data Management and Storage,To Do,Low,29,High,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,18,Medium,Medium
Office Renovation,To Do,High,9,Low,Low
Certificate of Acceptance (CoA),To Do,Medium,25,High,Low
Payment Gateway Integration,To Do,High,1,Low,Medium
Business Continuity Plan (BCP),Completed,High,17,Medium,Low
Customer Relationship Management (CRM),Completed,Medium,20,High,Low
Project Management Information System (PMIS),Completed,Medium,14,Medium,Low
Change Management,In Progress,Low,16,Medium,Low
Human Resource Management (HRM),In Progress,High,8,Low,Medium
Notification System,Completed,High,5,Low,Low
Portal Learning Management System (LMS),To Do,Low,27,High,Medium
Office Renovation,Completed,Medium,21,High,Low
Finalization and Integration,In Progress,Low,21,High,Medium
Data Management and Storage,Completed,Low,3,Low,Low
Transfer of Technology (TOT),In Progress,Medium,30,High,Medium
Contract Documentation,In Progress,Medium,1,Low,Low
Inventory Management,In Progress,High,4,Low,Medium
Payment Gateway Integration,To Do,Medium,23,High,Medium
Communication and Collaboration Tools,To Do,Low,23,High,Medium
Monitoring & Control Reports,Completed,Medium,15,Medium,Medium
Audit and Compliance,In Progress,Medium,29,High,Medium
Management Plans,In Progress,High,16,Medium,Low
Management Plans,Completed,High,24,High,Medium
Transfer of Knowledge (TOK),Completed,High,21,High,Low
User Authentication and Access Control,To Do,Low,17,Medium,Medium
Communication and Collaboration Tools,Completed,Low,22,High,Medium
Communication and Collaboration Tools,Completed,Medium,23,High,Medium
Data Services & Management,In Progress,High,30,High,High
Contract Documentation,To Do,Medium,22,High,Low
Project Management Information System (PMIS),To Do,Low,6,Low,Low
Portal,To Do,Low,24,High,Medium
Management Plans,In Progress,High,27,High,Medium
Change Management,To Do,High,14,Medium,Low
Project Closure Report,In Progress,High,24,High,Medium
Audit and Compliance,Completed,Medium,19,Medium,Low
Communication and Collaboration Tools,In Progress,High,9,Low,Medium
