Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Data Lake & Data Warehouse Operation,To Do,High,7,Low,High
Finalization and Integration,Completed,High,7,Low,Low
Data Management and Storage,To Do,Medium,7,Low,High
Change Management,In Progress,Medium,22,High,Low
Transfer of Technology (TOT),In Progress,Low,24,High,Low
Certificate of Acceptance (CoA),To Do,Medium,10,Medium,Medium
Business Continuity Plan (BCP),Completed,Low,20,High,Low
Enterprise Architecture (EA),To Do,High,29,High,Low
Project Management,Completed,High,10,Medium,Low
Transfer of Knowledge (TOK),Completed,Medium,17,Medium,Low
Communication and Collaboration Tools,In Progress,Medium,1,Low,High
Certificate of Acceptance (CoA),In Progress,High,27,High,Low
User Interface and User Experience (UI/UX),To Do,Medium,7,Low,Low
Portal,To Do,Low,4,Low,High
Transfer of Knowledge (TOK),Completed,Medium,20,High,Low
Customer Relationship Management (CRM),Completed,Medium,5,Low,Low
Data Services & Management,To Do,Low,23,High,Low
Certificate of Acceptance (CoA),Completed,Low,23,High,Low
Portal,In Progress,High,10,Medium,Medium
Reporting and Analytics,In Progress,High,8,Low,High
Human Resource Management (HRM),Completed,Medium,7,Low,Low
DevOps,To Do,Low,9,Low,Medium
Portal Learning Management System (LMS),Completed,High,21,High,Low
Certificate of Acceptance (CoA),To Do,Medium,29,High,Low
Communication and Collaboration Tools,Completed,Low,5,Low,Low
DevOps,Completed,Low,2,Low,Low
Inventory Management,Completed,Low,11,Medium,Low
Management Plans,In Progress,Low,6,Low,High
Customer Relationship Management (CRM),To Do,High,12,Medium,Medium
Customer Relationship Management (CRM),In Progress,High,12,Medium,High
Enterprise Architecture (EA),Completed,Medium,14,Medium,Low
Inventory Management,To Do,Low,24,High,High
DevOps,In Progress,Low,27,High,High
Notification System,Completed,Medium,23,High,Low
Workflow Management,In Progress,Medium,4,Low,High
User Authentication and Access Control,Completed,High,14,Medium,Low
Business Continuity Plan (BCP),Completed,Medium,19,Medium,Low
Project Management,To Do,Medium,6,Low,Medium
Notification System,Completed,Medium,17,Medium,Low
Change Management,Completed,Medium,28,High,Low
User Authentication and Access Control,To Do,Low,13,Medium,Low
Training Management,To Do,Medium,2,Low,Low
Enterprise Architecture (EA),To Do,Medium,11,Medium,Medium
Data Services & Management,Completed,Medium,8,Low,Low
Project Management Information System (PMIS),In Progress,Medium,23,High,Low
Change Management,To Do,Low,8,Low,Low
Transfer of Technology (TOT),In Progress,Medium,28,High,Low
Office Renovation,Completed,High,29,High,Low
Communication and Collaboration Tools,In Progress,High,13,Medium,Low
Payment Gateway Integration,Completed,High,17,Medium,Low
Notification System,Completed,Low,4,Low,Low
Training Management,To Do,High,13,Medium,Low
Monitoring & Control Reports,Completed,Low,18,Medium,Low
User Interface and User Experience (UI/UX),To Do,Low,16,Medium,High
Reporting and Analytics,To Do,Medium,22,High,Low
Inventory Management,Completed,High,14,Medium,Low
DevOps,In Progress,Medium,28,High,High
Audit and Compliance,To Do,High,28,High,Low
Contract Documentation,To Do,Medium,19,Medium,Medium
Audit and Compliance,In Progress,Medium,19,Medium,Medium
Finalization and Integration,Completed,Low,4,Low,Low
DevOps,To Do,High,29,High,Medium
Workflow Management,Completed,Low,5,Low,Low
Business Continuity Plan (BCP),To Do,Medium,3,Low,Low
Certificate of Acceptance (CoA),In Progress,High,15,Medium,Low
Training Management,To Do,High,29,High,Low
User Authentication and Access Control,In Progress,Medium,12,Medium,Medium
Change Management,Completed,Low,3,Low,Low
User Authentication and Access Control,In Progress,Low,21,High,High
User Authentication and Access Control,To Do,Medium,6,Low,High
Enterprise Architecture (EA),In Progress,High,24,High,Medium
Business Continuity Plan (BCP),In Progress,Medium,4,Low,Low
User Authentication and Access Control,In Progress,Low,25,High,Medium
Project Management Information System (PMIS),In Progress,Medium,16,Medium,Medium
Project Management Information System (PMIS),In Progress,Medium,25,High,Low
Portal,To Do,High,20,High,Medium
Communication and Collaboration Tools,To Do,High,18,Medium,High
Monitoring & Control Reports,In Progress,High,1,Low,High
User Interface and User Experience (UI/UX),Completed,High,2,Low,Low
Project Closure Report,In Progress,High,16,Medium,Low
Monitoring & Control Reports,In Progress,Medium,13,Medium,Medium
Contract Documentation,To Do,High,10,Medium,Low
User Interface and User Experience (UI/UX),In Progress,Low,3,Low,Low
Business Continuity Plan (BCP),To Do,High,20,High,Low
Inventory Management,To Do,Low,9,Low,Medium
Reporting and Analytics,Completed,Low,14,Medium,Low
Communication and Collaboration Tools,In Progress,Low,22,High,High
Portal Learning Management System (LMS),Completed,Medium,2,Low,Low
Project Closure Report,To Do,Medium,23,High,Low
Certificate of Acceptance (CoA),In Progress,Low,4,Low,High
Project Management,Completed,Low,13,Medium,Low
Enterprise Architecture (EA),To Do,Medium,13,Medium,Medium
Project Management Information System (PMIS),In Progress,Medium,13,Medium,Medium
Finalization and Integration,Completed,High,4,Low,Low
Training Management,To Do,High,10,Medium,Low
User Authentication and Access Control,To Do,Medium,15,Medium,Medium
Notification System,In Progress,High,11,Medium,High
Project Closure Report,In Progress,Medium,26,High,Low
Business Continuity Plan (BCP),Completed,High,27,High,Low
Portal Learning Management System (LMS),To Do,Low,23,High,Low
Audit and Compliance,In Progress,Low,28,High,Low
Customer Relationship Management (CRM),Completed,Medium,7,Low,Low
Data Services & Management,To Do,Medium,15,Medium,Medium
Change Management,In Progress,Medium,19,Medium,Medium
Certificate of Acceptance (CoA),In Progress,Low,18,Medium,Medium
Payment Gateway Integration,To Do,High,17,Medium,High
Payment Gateway Integration,To Do,High,25,High,Low
Project Management,To Do,High,6,Low,High
DevOps,To Do,High,9,Low,High
Data Services & Management,Completed,High,2,Low,Low
Office Renovation,To Do,Medium,4,Low,Low
User Authentication and Access Control,Completed,High,30,High,Low
Human Resource Management (HRM),To Do,Medium,28,High,Low
Workflow Management,Completed,High,29,High,Low
User Authentication and Access Control,In Progress,High,23,High,High
Contract Documentation,To Do,Medium,29,High,Low
User Interface and User Experience (UI/UX),In Progress,Medium,12,Medium,Medium
Data Lake & Data Warehouse Operation,To Do,Low,17,Medium,High
Payment Gateway Integration,Completed,Low,14,Medium,Low
Project Closure Report,Completed,High,13,Medium,Low
Notification System,Completed,Medium,2,Low,Low
Enterprise Architecture (EA),To Do,Low,21,High,High
Customer Relationship Management (CRM),To Do,Low,9,Low,High
Training Management,To Do,Medium,18,Medium,Medium
Contract Documentation,In Progress,Medium,28,High,Low
Portal Learning Management System (LMS),In Progress,High,15,Medium,Low
Inventory Management,To Do,Medium,23,High,Medium
Project Management,In Progress,Low,18,Medium,Medium
Notification System,To Do,High,11,Medium,High
Project Management Information System (PMIS),Completed,Medium,1,Low,Low
Data Lake & Data Warehouse Operation,To Do,Medium,10,Medium,Medium
Project Management,To Do,Low,29,High,Medium
Portal Learning Management System (LMS),Completed,Low,16,Medium,Low
Contract Documentation,Completed,High,25,High,Low
Workflow Management,In Progress,Medium,18,Medium,Medium
Human Resource Management (HRM),To Do,High,14,Medium,Low
Reporting and Analytics,To Do,Low,8,Low,High
Data Services & Management,To Do,Low,9,Low,Low
Project Management,In Progress,High,6,Low,High
Reporting and Analytics,In Progress,Medium,13,Medium,Medium
User Interface and User Experience (UI/UX),To Do,Low,29,High,Medium
Monitoring & Control Reports,Completed,Medium,26,High,Low
User Authentication and Access Control,Completed,Low,28,High,Low
Communication and Collaboration Tools,In Progress,Low,10,Medium,Medium
Data Management and Storage,In Progress,Low,25,High,Low
Data Management and Storage,In Progress,Medium,10,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,23,High,Low
Audit and Compliance,To Do,Medium,29,High,Low
Customer Relationship Management (CRM),In Progress,Low,16,Medium,High
Payment Gateway Integration,In Progress,High,30,High,High
Certificate of Acceptance (CoA),Completed,Medium,9,Low,Low
Project Management Information System (PMIS),Completed,High,22,High,Low
Change Management,In Progress,Medium,21,High,Low
Data Lake & Data Warehouse Operation,In Progress,High,29,High,Medium
Inventory Management,In Progress,Medium,1,Low,High
Portal,In Progress,High,25,High,Low
Customer Relationship Management (CRM),To Do,Medium,12,Medium,Medium
Audit and Compliance,To Do,Medium,28,High,Low
Portal,To Do,Medium,4,Low,Medium
Portal,Completed,Medium,12,Medium,Low
Monitoring & Control Reports,In Progress,Low,20,High,Low
Change Management,To Do,Medium,15,Medium,Medium
Business Continuity Plan (BCP),In Progress,Medium,19,Medium,Medium
Portal,Completed,Medium,16,Medium,Low
Inventory Management,In Progress,High,2,Low,High
Notification System,To Do,High,14,Medium,Medium
User Authentication and Access Control,To Do,Low,28,High,Low
Project Closure Report,To Do,High,22,High,Low
User Authentication and Access Control,Completed,High,4,Low,Low
User Authentication and Access Control,To Do,Low,21,High,High
Portal Learning Management System (LMS),In Progress,Medium,5,Low,Low
User Interface and User Experience (UI/UX),Completed,Low,5,Low,Low
Project Management,In Progress,High,5,Low,High
Portal,In Progress,High,2,Low,High
Certificate of Acceptance (CoA),In Progress,Medium,29,High,Low
Enterprise Architecture (EA),In Progress,Low,10,Medium,Medium
Audit and Compliance,To Do,Medium,22,High,Low
Data Services & Management,In Progress,Low,13,Medium,Medium
Data Management and Storage,In Progress,Low,12,Medium,Low
Data Services & Management,To Do,Low,26,High,Medium
Enterprise Architecture (EA),To Do,Medium,21,High,Low
Contract Documentation,To Do,Medium,4,Low,Low
DevOps,To Do,Low,29,High,Low
User Authentication and Access Control,To Do,Low,29,High,High
Payment Gateway Integration,Completed,Low,8,Low,Low
Notification System,To Do,High,9,Low,High
Portal Learning Management System (LMS),In Progress,Medium,4,Low,Low
Data Lake & Data Warehouse Operation,In Progress,High,12,Medium,Medium
Notification System,In Progress,Low,17,Medium,High
Finalization and Integration,In Progress,High,10,Medium,Medium
Workflow Management,Completed,High,3,Low,Low
Communication and Collaboration Tools,To Do,Low,19,Medium,Low
Project Closure Report,To Do,Low,8,Low,Low
Portal Learning Management System (LMS),In Progress,High,5,Low,High
Monitoring & Control Reports,To Do,Low,27,High,Low
Project Management Information System (PMIS),In Progress,High,9,Low,High
Management Plans,Completed,High,5,Low,Low
Finalization and Integration,Completed,Medium,30,High,Low
Contract Documentation,In Progress,Medium,12,Medium,Medium
Management Plans,Completed,Medium,23,High,Low
Transfer of Technology (TOT),Completed,High,30,High,Low
User Interface and User Experience (UI/UX),Completed,High,19,Medium,Low
Reporting and Analytics,In Progress,Low,28,High,High
Data Management and Storage,To Do,Low,10,Medium,Low
Notification System,In Progress,Medium,30,High,Medium
Transfer of Technology (TOT),In Progress,Medium,5,Low,Low
Communication and Collaboration Tools,To Do,Low,8,Low,High
Portal Learning Management System (LMS),To Do,Medium,23,High,Low
Enterprise Architecture (EA),Completed,Low,19,Medium,Low
Audit and Compliance,In Progress,Medium,26,High,Low
Project Closure Report,In Progress,Low,8,Low,Low
Payment Gateway Integration,Completed,High,16,Medium,Low
Inventory Management,To Do,High,27,High,High
User Authentication and Access Control,To Do,Low,22,High,High
Data Management and Storage,To Do,Medium,29,High,High
Human Resource Management (HRM),Completed,Low,5,Low,Low
Audit and Compliance,To Do,Medium,21,High,Low
Communication and Collaboration Tools,Completed,High,4,Low,Low
Notification System,To Do,High,2,Low,High
Project Management,In Progress,High,21,High,Medium
DevOps,Completed,High,10,Medium,Low
Data Services & Management,To Do,Medium,18,Medium,Medium
Business Continuity Plan (BCP),To Do,Low,12,Medium,Low
Communication and Collaboration Tools,In Progress,Low,1,Low,Medium
Notification System,To Do,High,6,Low,High
Business Continuity Plan (BCP),To Do,Medium,3,Low,Low
Enterprise Architecture (EA),In Progress,Medium,24,High,High
