Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class
Inventory Management,Completed,Low,21,High
Data Management and Storage,To Do,Low,29,High
User Interface and User Experience (UI/UX),In Progress,Medium,18,Medium
Office Renovation,To Do,High,9,Low
Certificate of Acceptance (CoA),To Do,Medium,25,High
Payment Gateway Integration,To Do,High,1,Low
Business Continuity Plan (BCP),Completed,High,17,Medium
Customer Relationship Management (CRM),Completed,Medium,20,High
Project Management Information System (PMIS),Completed,Medium,14,Medium
Change Management,In Progress,Low,16,Medium
Human Resource Management (HRM),In Progress,High,8,Low
Notification System,Completed,High,5,Low
Portal Learning Management System (LMS),To Do,Low,27,High
Office Renovation,Completed,Medium,21,High
Finalization and Integration,In Progress,Low,21,High
Data Management and Storage,Completed,Low,3,Low
Transfer of Technology (TOT),In Progress,Medium,30,High
Contract Documentation,In Progress,Medium,1,Low
Inventory Management,In Progress,High,4,Low
Payment Gateway Integration,To Do,Medium,23,High
Communication and Collaboration Tools,To Do,Low,23,High
Monitoring & Control Reports,Completed,Medium,15,Medium
Audit and Compliance,In Progress,Medium,29,High
Management Plans,In Progress,High,16,Medium
Management Plans,Completed,High,24,High
Transfer of Knowledge (TOK),Completed,High,21,High
User Authentication and Access Control,To Do,Low,17,Medium
Communication and Collaboration Tools,Completed,Low,22,High
Communication and Collaboration Tools,Completed,Medium,23,High
Data Services & Management,In Progress,High,30,High
Contract Documentation,To Do,Medium,22,High
Project Management Information System (PMIS),To Do,Low,6,Low
Portal,To Do,Low,24,High
Management Plans,In Progress,High,27,High
Change Management,To Do,High,14,Medium
Project Closure Report,In Progress,High,24,High
Audit and Compliance,Completed,Medium,19,Medium
Communication and Collaboration Tools,In Progress,High,9,Low
Notification System,In Progress,Low,4,Low
Workflow Management,Completed,Medium,19,Medium
Change Management,To Do,Medium,27,High
Finalization and Integration,Completed,High,10,Medium
Project Closure Report,To Do,Low,16,Medium
Audit and Compliance,In Progress,Medium,21,High
Data Management and Storage,In Progress,Medium,10,Medium
Training Management,Completed,Low,3,Low
Management Plans,In Progress,High,22,High
Contract Documentation,In Progress,Medium,18,Medium
Inventory Management,In Progress,High,10,Medium
Portal,Completed,Low,24,High
Reporting and Analytics,To Do,High,1,Low
Transfer of Technology (TOT),Completed,Low,11,Medium
Contract Documentation,Completed,High,7,Low
Certificate of Acceptance (CoA),Completed,Low,27,High
Payment Gateway Integration,Completed,Medium,23,High
Portal Learning Management System (LMS),To Do,Medium,13,Medium
Data Services & Management,In Progress,Medium,1,Low
Change Management,Completed,Low,12,Medium
Contract Documentation,To Do,Low,5,Low
Contract Documentation,To Do,High,8,Low
Project Management,To Do,Medium,15,Medium
Payment Gateway Integration,Completed,High,18,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,14,Medium
Project Management Information System (PMIS),To Do,High,16,Medium
Data Services & Management,To Do,Medium,25,High
Finalization and Integration,In Progress,Low,8,Low
Certificate of Acceptance (CoA),In Progress,Low,3,Low
Business Continuity Plan (BCP),Completed,High,30,High
Data Services & Management,In Progress,Low,14,Medium
Notification System,Completed,Low,21,High
Project Closure Report,To Do,Medium,20,High
Payment Gateway Integration,Completed,High,23,High
Notification System,Completed,Low,13,Medium
Inventory Management,Completed,High,24,High
Notification System,In Progress,High,17,Medium
Transfer of Knowledge (TOK),In Progress,Low,19,Medium
DevOps,Completed,High,22,High
Transfer of Technology (TOT),To Do,Low,30,High
Training Management,In Progress,High,9,Low
Data Services & Management,In Progress,Medium,9,Low
Enterprise Architecture (EA),To Do,Medium,16,Medium
Human Resource Management (HRM),To Do,Medium,11,Medium
Management Plans,To Do,Low,1,Low
Business Continuity Plan (BCP),To Do,Low,5,Low
Portal Learning Management System (LMS),Completed,Medium,30,High
Payment Gateway Integration,In Progress,Medium,25,High
Workflow Management,In Progress,High,21,High
Audit and Compliance,To Do,High,30,High
Transfer of Technology (TOT),Completed,High,9,Low
Data Services & Management,Completed,Low,24,High
Project Management Information System (PMIS),To Do,Low,19,Medium
User Interface and User Experience (UI/UX),To Do,Medium,25,High
Portal Learning Management System (LMS),Completed,Medium,26,High
Office Renovation,In Progress,Medium,14,Medium
Contract Documentation,To Do,High,22,High
Notification System,To Do,High,26,High
Office Renovation,Completed,Low,27,High
Human Resource Management (HRM),To Do,Medium,21,High
Training Management,To Do,Medium,12,Medium
Workflow Management,Completed,Medium,14,Medium
Reporting and Analytics,To Do,Low,4,Low
Audit and Compliance,Completed,Low,2,Low
Communication and Collaboration Tools,Completed,High,18,Medium
Monitoring & Control Reports,Completed,Medium,30,High
Office Renovation,In Progress,High,26,High
Notification System,Completed,Low,18,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,13,Medium
Inventory Management,In Progress,High,2,Low
Reporting and Analytics,To Do,Low,27,High
Project Management,In Progress,Low,23,High
Communication and Collaboration Tools,Completed,Medium,15,Medium
Project Management,To Do,Low,14,Medium
User Authentication and Access Control,To Do,High,16,Medium
Notification System,Completed,High,27,High
Finalization and Integration,Completed,Low,28,High
Data Services & Management,To Do,Medium,21,High
Change Management,In Progress,Medium,7,Low
Data Lake & Data Warehouse Operation,In Progress,Medium,13,Medium
Human Resource Management (HRM),In Progress,Medium,6,Low
Project Management Information System (PMIS),In Progress,Medium,23,High
Payment Gateway Integration,To Do,Low,25,High
Office Renovation,Completed,Medium,5,Low
User Authentication and Access Control,In Progress,Medium,28,High
Change Management,Completed,Medium,23,High
Audit and Compliance,To Do,Medium,22,High
Portal,Completed,High,25,High
Business Continuity Plan (BCP),In Progress,High,3,Low
Transfer of Technology (TOT),To Do,Low,24,High
Portal,Completed,High,20,High
Customer Relationship Management (CRM),In Progress,Low,10,Medium
DevOps,To Do,High,12,Medium
Office Renovation,Completed,Medium,17,Medium
Certificate of Acceptance (CoA),To Do,High,28,High
Management Plans,To Do,High,14,Medium
Finalization and Integration,To Do,Medium,20,High
Enterprise Architecture (EA),In Progress,Medium,12,Medium
Contract Documentation,To Do,High,16,Medium
Office Renovation,Completed,High,20,High
Office Renovation,In Progress,High,18,Medium
Audit and Compliance,To Do,High,25,High
Office Renovation,Completed,Medium,8,Low
DevOps,Completed,Medium,27,High
Finalization and Integration,To Do,Medium,28,High
Finalization and Integration,Completed,Low,3,Low
Payment Gateway Integration,Completed,High,5,Low
Finalization and Integration,Completed,High,2,Low
Inventory Management,Completed,High,30,High
User Authentication and Access Control,Completed,Low,20,High
Enterprise Architecture (EA),To Do,Medium,27,High
DevOps,To Do,Low,2,Low
Communication and Collaboration Tools,Completed,Medium,9,Low
Payment Gateway Integration,Completed,Medium,2,Low
Reporting and Analytics,In Progress,High,22,High
Workflow Management,In Progress,Low,2,Low
Transfer of Knowledge (TOK),To Do,High,17,Medium
Data Services & Management,Completed,Medium,13,Medium
Monitoring & Control Reports,In Progress,High,29,High
Portal,In Progress,Medium,23,High
Workflow Management,To Do,Medium,17,Medium
DevOps,In Progress,High,26,High
Change Management,To Do,Low,16,Medium
Monitoring & Control Reports,In Progress,Medium,21,High
Transfer of Knowledge (TOK),In Progress,Medium,23,High
Project Management,To Do,Medium,5,Low
Contract Documentation,To Do,Low,11,Medium
Management Plans,Completed,Medium,28,High
Office Renovation,Completed,Medium,5,Low
Portal,Completed,Low,4,Low
Portal,To Do,Low,8,Low
Payment Gateway Integration,To Do,Medium,29,High
Inventory Management,To Do,Low,8,Low
Payment Gateway Integration,Completed,Medium,18,Medium
Business Continuity Plan (BCP),Completed,High,14,Medium
Audit and Compliance,To Do,Low,24,High
User Interface and User Experience (UI/UX),In Progress,Low,2,Low
Enterprise Architecture (EA),In Progress,Low,20,High
Notification System,In Progress,High,9,Low
Office Renovation,To Do,High,23,High
Enterprise Architecture (EA),In Progress,High,12,Medium
User Interface and User Experience (UI/UX),To Do,High,12,Medium
Change Management,To Do,Low,26,High
Finalization and Integration,To Do,Low,13,Medium
Human Resource Management (HRM),To Do,Medium,14,Medium
Business Continuity Plan (BCP),Completed,High,20,High
Enterprise Architecture (EA),In Progress,Medium,1,Low
Change Management,In Progress,High,15,Medium
Project Closure Report,To Do,Medium,15,Medium
Project Management,Completed,High,5,Low
Workflow Management,In Progress,High,9,Low
Data Services & Management,Completed,Low,28,High
Inventory Management,Completed,Low,18,Medium
Project Closure Report,In Progress,Low,6,Low
User Authentication and Access Control,In Progress,Low,15,Medium
User Interface and User Experience (UI/UX),In Progress,Low,30,High
Training Management,To Do,Medium,23,High
Certificate of Acceptance (CoA),Completed,Low,11,Medium
Management Plans,To Do,Medium,30,High
Project Closure Report,Completed,Low,17,Medium
Project Management,To Do,Low,26,High
Monitoring & Control Reports,To Do,Low,4,Low
Management Plans,Completed,Low,2,Low
Office Renovation,To Do,Low,25,High
Notification System,To Do,High,9,Low
Project Management Information System (PMIS),Completed,High,21,High
Communication and Collaboration Tools,Completed,Low,9,Low
Data Services & Management,In Progress,Low,23,High
DevOps,To Do,Medium,17,Medium
Notification System,In Progress,Low,13,Medium
User Interface and User Experience (UI/UX),Completed,High,15,Medium
Project Management Information System (PMIS),In Progress,Medium,25,High
Portal,In Progress,Medium,20,High
Finalization and Integration,To Do,High,8,Low
Contract Documentation,To Do,High,3,Low
Project Management,Completed,High,22,High
Audit and Compliance,In Progress,Low,25,High
Audit and Compliance,Completed,Medium,10,Medium
Data Services & Management,In Progress,Medium,25,High
User Authentication and Access Control,Completed,High,4,Low
Reporting and Analytics,In Progress,Low,6,Low
Human Resource Management (HRM),In Progress,High,2,Low
Inventory Management,Completed,Medium,27,High
Office Renovation,To Do,High,12,Medium
Office Renovation,To Do,Medium,25,High
Finalization and Integration,To Do,Low,20,High
Finalization and Integration,To Do,Medium,16,Medium
Project Closure Report,To Do,Medium,6,Low
User Interface and User Experience (UI/UX),To Do,Low,28,High
Change Management,To Do,Low,27,High
Portal,To Do,Low,26,High
Portal,To Do,Medium,5,Low
Audit and Compliance,Completed,High,29,High
Transfer of Technology (TOT),Completed,High,12,Medium
Enterprise Architecture (EA),To Do,Low,7,Low
Enterprise Architecture (EA),To Do,Medium,5,Low
Data Services & Management,To Do,Low,29,High
Transfer of Knowledge (TOK),To Do,Medium,20,High
Change Management,To Do,Medium,21,High
Payment Gateway Integration,Completed,High,13,Medium
Communication and Collaboration Tools,Completed,High,17,Medium
Inventory Management,To Do,Medium,16,Medium
Data Management and Storage,To Do,Low,12,Medium
Portal,To Do,Low,13,Medium
Transfer of Technology (TOT),Completed,Low,28,High
Data Services & Management,In Progress,High,12,Medium
Monitoring & Control Reports,In Progress,Low,4,Low
Enterprise Architecture (EA),In Progress,Medium,24,High
Office Renovation,To Do,Low,2,Low
Data Lake & Data Warehouse Operation,Completed,Low,4,Low
Payment Gateway Integration,To Do,Low,15,Medium
DevOps,In Progress,High,11,Medium
Payment Gateway Integration,Completed,Low,2,Low
Reporting and Analytics,To Do,Low,8,Low
Change Management,Completed,High,25,High
User Interface and User Experience (UI/UX),To Do,Medium,30,High
User Interface and User Experience (UI/UX),Completed,Low,22,High
Reporting and Analytics,In Progress,High,11,Medium
Payment Gateway Integration,In Progress,High,18,Medium
Office Renovation,To Do,Medium,20,High
Reporting and Analytics,In Progress,Medium,24,High
Notification System,Completed,Medium,7,Low
Workflow Management,Completed,High,23,High
Office Renovation,To Do,High,22,High
Data Services & Management,Completed,Low,8,Low
Business Continuity Plan (BCP),Completed,Medium,1,Low
Business Continuity Plan (BCP),To Do,Medium,15,Medium
Monitoring & Control Reports,In Progress,Low,12,Medium
User Authentication and Access Control,Completed,Medium,7,Low
Data Management and Storage,To Do,High,28,High
Certificate of Acceptance (CoA),In Progress,High,19,Medium
Certificate of Acceptance (CoA),Completed,Low,3,Low
Notification System,Completed,Low,16,Medium
Management Plans,In Progress,Low,3,Low
Project Management Information System (PMIS),Completed,Medium,25,High
Reporting and Analytics,Completed,Medium,14,Medium
Monitoring & Control Reports,Completed,High,26,High
Human Resource Management (HRM),To Do,High,28,High
Project Closure Report,To Do,Medium,26,High
Audit and Compliance,To Do,Medium,16,Medium
Project Closure Report,To Do,Medium,3,Low
Business Continuity Plan (BCP),In Progress,High,21,High
Certificate of Acceptance (CoA),To Do,Medium,26,High
Project Closure Report,Completed,Low,9,Low
Transfer of Knowledge (TOK),In Progress,Low,9,Low
Transfer of Technology (TOT),In Progress,Medium,1,Low
Workflow Management,In Progress,Low,9,Low
DevOps,Completed,Low,13,Medium
Human Resource Management (HRM),To Do,Low,18,Medium
Workflow Management,Completed,Medium,27,High
Management Plans,In Progress,High,5,Low
Audit and Compliance,To Do,Low,23,High
Contract Documentation,Completed,Low,3,Low
Business Continuity Plan (BCP),In Progress,High,3,Low
Customer Relationship Management (CRM),Completed,High,29,High
